ID;Arbeitspaket;Start;Ende;Fortschritt_Prozent;Status;Verantwortlich;Kritischer_Pfad
T-01;Projektauftrag;2026-10-01;2026-10-15;100;Abgeschlossen;Projektleitung;Ja
T-02;Bestandsaufnahme;2026-10-16;2026-11-15;100;Abgeschlossen;Fachprojektleitung;Ja
T-03;Lastenheft;2026-11-01;2026-11-30;100;Abgeschlossen;Fachprojektleitung;Ja
T-04;Ausschreibung;2026-12-01;2027-01-15;100;Abgeschlossen;Einkauf;Ja
T-05;Angebotsbewertung;2027-01-16;2027-02-14;100;Abgeschlossen;Projektleitung;Ja
T-06;Vergabe;2027-02-15;2027-02-28;100;Abgeschlossen;Einkauf;Ja
T-07;Detailengineering;2027-03-01;2027-04-30;100;Abgeschlossen;Auftragnehmer;Ja
T-08;Fertigung;2027-05-01;2027-06-25;92;In Arbeit;Auftragnehmer;Ja
T-09;Factory Acceptance Test;2027-06-26;2027-06-30;25;Gefährdet;Fachprojektleitung;Ja
T-10;Lieferung und Baustellenvorbereitung;2027-07-01;2027-08-31;15;Geplant;Projektleitung;Ja
T-11;Montage;2027-09-01;2027-09-10;0;Geplant;Auftragnehmer;Ja
T-12;Prüfung und Inbetriebnahme;2027-09-11;2027-09-20;0;Geplant;Fachprojektleitung;Ja
T-13;Projektabschluss;2027-09-21;2027-09-30;0;Geplant;Projektleitung;Nein
